id_student,code_module,code_presentation,late_rate,avg_days_late,irregularity,last_min_ratio,avg_gap,max_gap,total_clicks,active_days,num_assessments,cluster,risk,risk_enc
2632165,EEE,2014B,0.0,-5.75,1.0174529927214773,0.12125340599455041,2.2882882882882885,34,2202,112,4,2,Low,1
2678580,FFF,2014J,0.0,0.0,0.8745125071020697,0.2219020172910663,2.3617021276595747,9,347,48,2,2,Low,1
642122,BBB,2014J,0.0,-3.4,3.3508499823722255,0.04021813224267212,9.625,28,1467,17,5,1,High,0
1101190,CCC,2014J,0.6666666666666666,2.5,1.2363469113134047,0.6198979591836735,5.653061224489796,43,784,50,9,0,Medium,2
656579,FFF,2014J,0.0,-65.25,0.9544017690569813,0.1671204901293397,2.74468085106383,14,5876,95,12,2,Low,1
578062,BBB,2013J,0.5,5.0,0.6928203230275509,0.0,19.0,38,10,4,2,0,Medium,2
529381,FFF,2013B,0.5,-0.5,1.0256878042467812,0.21925431274346133,3.4827586206896552,13,1797,30,2,0,Medium,2
606350,EEE,2014B,1.0,2.0,1.1595350813745446,0.2222222222222222,43.25,138,36,5,1,0,Medium,2
634774,FFF,2014B,0.0,-93.0,1.134437196674396,0.15225424981522542,1.7906976744186047,12,1353,44,4,2,Low,1
581178,BBB,2014J,0.07692307692307693,-28.307692307692307,1.244362042672205,0.6880222841225627,12.238095238095237,36,359,22,13,2,Low,1
635100,DDD,2014B,0.2857142857142857,0.14285714285714285,0.7660133171163301,0.2650862068965517,4.938775510204081,24,464,50,7,2,Low,1
627933,CCC,2014B,0.5,1.0,1.632263852423882,0.6963979416809606,5.021739130434782,36,583,47,6,0,Medium,2
528083,CCC,2014B,0.2,0.4,0.8756240097202379,0.6835443037974683,5.0,15,158,7,5,2,Low,1
556389,DDD,2013B,0.5833333333333334,0.6666666666666666,1.012376909444083,0.75,3.0,24,836,82,12,0,Medium,2
346207,FFF,2013B,0.0,-16.083333333333332,1.181211931583861,0.3738965952080706,2.597826086956522,12,3172,93,12,2,Low,1
523803,GGG,2013J,0.2222222222222222,-15.444444444444445,1.8534853622859897,2.6595092024539877,8.290322580645162,52,326,32,9,1,High,0
385387,CCC,2014B,0.4444444444444444,0.25,1.259701410183318,0.4195411784122793,1.215962441314554,4,6059,214,9,0,Medium,2
648244,FFF,2014J,0.5,3.5,1.090368499620766,0.4092664092664093,11.333333333333334,75,259,13,2,0,Medium,2
650269,BBB,2014J,0.0,-12.6,1.121057096541471,0.1053864168618267,5.083333333333333,21,854,49,5,2,Low,1
603410,DDD,2013J,0.0,-0.5,0.9917860364850886,0.3475982532751092,2.5846153846153848,9,1145,66,4,2,Low,1
688924,EEE,2014J,0.0,-1.25,1.3612264769117588,0.3093994778067885,4.791666666666667,26,766,49,4,2,Low,1
492153,BBB,2013J,0.8,3.1,0.8642348433519376,0.40330697340043137,2.481132075471698,18,1391,107,10,0,Medium,2
